id,status,ip,latitude,longitude,send_date,reported,modified_date,email,first_name,last_name,position
w4YSW3H,Submitted Data,,0,0,16/09/2025 16:22:39,true,16/09/2025 16:24:00,dominiqueguyot@example.net,Aurélie,Léger,Développeur
pFqJX86,Email Sent,,0,0,16/09/2025 20:41:39,false,16/09/2025 20:42:47,raymonddeschamps@example.net,Margot,Lecoq,Analyste cybersécurité
rCecikz,Submitted Data,,0,0,14/09/2025 17:27:39,true,14/09/2025 17:29:58,afaivre@example.org,Hugues,Samson,Administrateur système
LSya4vm,Opened,,0,0,06/09/2025 20:49:39,false,06/09/2025 20:50:41,bernierpauline@example.com,Alix,Bourdon,Analyste cybersécurité
dpDETQE,Submitted Data,192.168.166.19,0,0,11/09/2025 04:41:39,true,11/09/2025 04:44:28,verdiervirginie@example.org,Émilie,Adam,Développeur
CPvhCzq,Opened,192.168.213.49,0,0,14/09/2025 10:40:39,false,14/09/2025 10:42:32,lebrunthierry@example.com,Virginie,Poirier,Développeur
qOt0a3a,Email Sent,192.168.24.102,0,0,14/09/2025 04:16:39,false,14/09/2025 04:20:46,pgros@example.com,Nath,Henry,Consultant
BkDvXrZ,Email Sent,,0,0,03/09/2025 12:30:39,true,03/09/2025 12:34:49,ididier@example.net,Théodore,Gallet,Consultant
j9FmWHJ,Email Sent,,0,0,07/09/2025 20:44:39,false,07/09/2025 20:48:30,lecontealphonse@example.com,Zacharie,Chevallier,Analyste cybersécurité
gJ6Z4Pw,Submitted Data,192.168.65.37,0,0,15/09/2025 21:05:39,true,15/09/2025 21:10:32,martin76@example.com,Nathalie,Nguyen,Administrateur système
hulVEbu,Clicked Link,10.237.212.97,0,0,06/09/2025 14:49:39,false,06/09/2025 14:52:47,valentinechretien@example.net,Marcelle,Leduc,Développeur
AbtSYwT,Submitted Data,192.168.118.91,0,0,13/09/2025 04:49:39,false,13/09/2025 04:52:29,legendrearnaude@example.net,Gérard,Diaz,Analyste cybersécurité
qwLAifO,Opened,,0,0,07/09/2025 10:38:39,true,07/09/2025 10:42:02,brunelguy@example.net,Éléonore,Gallet,Chef de projet
5FhHiGQ,Opened,,0,0,05/09/2025 21:24:39,false,05/09/2025 21:25:22,dianegilles@example.org,Virginie,Dijoux,Administrateur système
y4cO3SQ,Clicked Link,172.30.140.6,0,0,03/09/2025 20:15:39,true,03/09/2025 20:17:16,bertrandfabre@example.net,Denise,Fleury,Administrateur système
vGj3C9A,Email Sent,,0,0,16/09/2025 14:04:39,true,16/09/2025 14:08:30,wbrunel@example.net,Nath,Lamy,Analyste cybersécurité
